Identificativo Titolo,Titolo,Natura,Genere 1,age_decade,n,grouped_rowid
874363,"*Sara al tramonto / Maurizio de Giovanni. - Milano : Rizzoli, 2018. - 359 p. ; 22 cm",Monografia,NA,60,101,2
851209,"*Rondini d'inverno : sipario per il commissario Ricciardi / Maurizio De Giovanni. - Torino : Einaudi, 2017. - 356 p. ; 22 cm",Monografia,NA,60,97,3
866415,"La *ragazza con la Leica : romanzo / Helena Janeczek. - Milano : Guanda, 2017. - 333 p. : ill. ; 22 cm",Monografia,NA,60,94,4
873308,"L'*estate del '78 / Roberto Alajmo. - Palermo : Sellerio, 2018. - 173 p. : ill. ; 21 cm",Monografia,NA,60,90,5
821907,"L'*estate fredda / Gianrico Carofiglio. - Torino : Einaudi, 2016. - 340 p. ; 22 cm",Monografia,NA,60,89,6
823950,"Le *otto montagne / Paolo Cognetti. - Torino : Einaudi, 2016. - 199 p. ; 22 cm.",Monografia,NA,60,89,7
867817,"Il *morso della reclusa / Fred Vargas ; traduzione di Margherita Botto. - Torino : Einaudi, 2018. - 432 p. ; 22 cm",Monografia,NA,60,88,8
746986,"3: *Storia di chi fugge e di chi resta : *tempo di mezzo / Elena Ferrante. - Roma : E/O, 2013. - 382 p. ; 21 cm.",Monografia,NA,60,85,9
859858,"Le *tre del mattino / Gianrico Carofiglio. - Torino : Einaudi, 2017. - 165 p. ; 22 cm",Monografia,NA,60,85,10
812200,"*Serenata senza nome : notturno per il commissario Ricciardi / Maurizio De Giovanni. - Torino : Einaudi, 2016. - 373 p. ; 22 cm.",Monografia,NA,60,82,11
842687,"I *guardiani / Maurizio De Giovanni. - [Milano] : Rizzoli, 2017. - 362 p. ; 24 cm",Monografia,NA,60,82,12
874580,"1: L'*amica geniale : infanzia, adolescenza / Elena Ferrante. - Roma : E/O, 2011. - 327 p. ; 21 cm",Monografia,NA,60,81,13
864821,"*Souvenir : per i Bastardi di Pizzofalcone / Maurizio De Giovanni. - Torino : Einaudi, 2017. - 328 p. ; 22 cm",Monografia,NA,60,78,14
872054,"*Mio caro serial killer / Alicia Giménez-Bartlett ; traduzione di Maria Nicola. - Palermo : Sellerio, 2018. - 471 p. ; 17 cm.",Monografia,NA,60,78,15
876186,"*Di niente e di nessuno : [romanzo] / Dario Levantino. - Roma : Fazi, 2018. - 159 p. ; 22 cm. ((In quarta di copertina: eBook disponibile",Monografia,NA,60,77,16
746987,"4: *Storia della bambina perduta : maturità - vecchiaia / Elena Ferrante. - Roma : E/O, 2014. - 451 p. ; 21 cm",Monografia,NA,60,75,17
824924,"*Pane : per i Bastardi di Pizzofalcone / Maurizio De Giovanni. - Torino : Einaudi, 2016. - 331 p. ; 22 cm",Monografia,NA,60,75,18
836554,"L'*Arminuta / Donatella Di Pietrantonio. - Torino : Einaudi, 2017. - 163 p. ; 23 cm",Monografia,NA,60,74,19
867427,"*Questa sera è già domani / Lia Levi. - Roma : E/O, 2017. - 217 p. ; 21 cm",Monografia,NA,60,70,20
842687,"I *guardiani / Maurizio De Giovanni. - [Milano] : Rizzoli, 2017. - 362 p. ; 24 cm",Monografia,NA,70,70,1
824924,"*Pane : per i Bastardi di Pizzofalcone / Maurizio De Giovanni. - Torino : Einaudi, 2016. - 331 p. ; 22 cm",Monografia,NA,70,64,2
870622,"*Resto qui / Marco Balzano. - Torino : Einaudi, 2018. - 184 p. ; 23 cm",Monografia,NA,70,64,3
873308,"L'*estate del '78 / Roberto Alajmo. - Palermo : Sellerio, 2018. - 173 p. : ill. ; 21 cm",Monografia,NA,70,59,4
876186,"*Di niente e di nessuno : [romanzo] / Dario Levantino. - Roma : Fazi, 2018. - 159 p. ; 22 cm. ((In quarta di copertina: eBook disponibile",Monografia,NA,70,59,5
821907,"L'*estate fredda / Gianrico Carofiglio. - Torino : Einaudi, 2016. - 340 p. ; 22 cm",Monografia,NA,70,58,6
866415,"La *ragazza con la Leica : romanzo / Helena Janeczek. - Milano : Guanda, 2017. - 333 p. : ill. ; 22 cm",Monografia,NA,70,58,7
812200,"*Serenata senza nome : notturno per il commissario Ricciardi / Maurizio De Giovanni. - Torino : Einaudi, 2016. - 373 p. ; 22 cm.",Monografia,NA,70,55,8
867427,"*Questa sera è già domani / Lia Levi. - Roma : E/O, 2017. - 217 p. ; 21 cm",Monografia,NA,70,55,9
851209,"*Rondini d'inverno : sipario per il commissario Ricciardi / Maurizio De Giovanni. - Torino : Einaudi, 2017. - 356 p. ; 22 cm",Monografia,NA,70,52,10
859858,"Le *tre del mattino / Gianrico Carofiglio. - Torino : Einaudi, 2017. - 165 p. ; 22 cm",Monografia,NA,70,52,11
864821,"*Souvenir : per i Bastardi di Pizzofalcone / Maurizio De Giovanni. - Torino : Einaudi, 2017. - 328 p. ; 22 cm",Monografia,NA,70,52,12
870429,"La *corsara : ritratto di Natalia Ginzburg / Sandra Petrignani. - Vicenza : Pozza, 2018. - 459  p. : ill. ; 22 cm. ((In copertina: Neri Pozza narrativa",Monografia,NA,70,52,13
836554,"L'*Arminuta / Donatella Di Pietrantonio. - Torino : Einaudi, 2017. - 163 p. ; 23 cm",Monografia,NA,70,51,14
